"","Date","Open","High","Low","Close","Volume","Ex-Dividend","Split Ratio","Adj. Open","Adj. High","Adj. Low","Adj. Close","Adj. Volume"
"49",2015-05-05,538.21,539.74,530.3906,530.8,1383068,0,1,538.21,539.74,530.3906,530.8,1383068
"50",2015-05-04,538.53,544.07,535.06,540.78,1307960,0,1,538.53,544.07,535.06,540.78,1307960
"51",2015-05-01,538.43,539.54,532.1,537.61,1739125,0,1,538.43,539.54,532.1,537.61,1739125
"52",2015-04-30,547.87,548.59,535.05,537.34,2051821,0,1,547.87,548.59,535.05,537.34,2051821
"53",2015-04-29,550.47,553.68,546.905,549.08,1684524,0,1,550.47,553.68,546.905,549.08,1684524
"54",2015-04-28,554.64,556.02,550.366,553.68,1476836,0,1,554.64,556.02,550.366,553.68,1476836
"55",2015-04-27,563.39,565.95,553.2001,555.37,2382712,0,1,563.39,565.95,553.2001,555.37,2382712
"56",2015-04-24,566.1,571.14,557.25,565.06,4798130,0,1,566.1,571.14,557.25,565.06,4798130
"57",2015-04-23,541,550.96,540.23,547,3622409,0,1,541,550.96,540.23,547,3622409
"58",2015-04-22,534.4,541.08,531.75,539.365,1564941,0,1,534.4,541.08,531.75,539.365,1564941
"59",2015-04-21,537.51,539.39,533.675,533.97,1809267,0,1,537.51,539.39,533.675,533.97,1809267
"60",2015-04-20,525.6,536.09,524.5,535.38,1670667,0,1,525.6,536.09,524.5,535.38,1670667
"61",2015-04-17,528.66,529.84,521.01,524.05,2119474,0,1,528.66,529.84,521.01,524.05,2119474
"62",2015-04-16,529.9,535.59,529.61,533.8,1284328,0,1,529.9,535.59,529.61,533.8,1284328
"63",2015-04-15,528.7,534.73,523.22,532.53,2294929,0,1,528.7,534.73,523.22,532.53,2294929
"64",2015-04-14,536.25,537.5699,528.0925,530.39,2586769,0,1,536.25,537.5699,528.0925,530.39,2586769
"65",2015-04-13,538.41,544.06,537.31,539.17,1620688,0,1,538.41,544.06,537.31,539.17,1620688
"66",2015-04-10,542.29,542.29,537.31,540.01,1389400,0,1,542.29,542.29,537.31,540.01,1389400
"67",2015-04-09,541.03,541.95,535.49,540.78,1543473,0,1,541.03,541.95,535.49,540.78,1543473
"68",2015-04-08,538.38,543.85,538.38,541.61,1160770,0,1,538.38,543.85,538.38,541.61,1160770
"69",2015-04-07,538.08,542.69,536,537.02,1294475,0,1,538.08,542.69,536,537.02,1294475
"70",2015-04-06,532.22,538.41,529.57,536.765,1314080,0,1,532.22,538.41,529.57,536.765,1314080
"71",2015-04-02,540.85,540.85,533.8467,535.53,1700795,0,1,540.85,540.85,533.8467,535.53,1700795
"72",2015-04-01,548.6,551.14,539.5,542.56,1940781,0,1,548.6,551.14,539.5,542.56,1940781
"73",2015-03-31,550,554.71,546.72,548,1548848,0,1,550,554.71,546.72,548,1548848
"74",2015-03-30,551.62,553.47,548.17,552.03,1270621,0,1,551.62,553.47,548.17,552.03,1270621
"75",2015-03-27,553,555.28,548.13,548.34,1879717,0,1,553,555.28,548.13,548.34,1879717
"76",2015-03-26,557.59,558.9,550.65,555.17,1555534,0,1,557.59,558.9,550.65,555.17,1555534
"77",2015-03-25,570.5,572.26,558.74,558.785,2106090,0,1,570.5,572.26,558.74,558.785,2106090
"78",2015-03-24,562.56,574.59,561.21,570.19,2564170,0,1,562.56,574.59,561.21,570.19,2564170
"79",2015-03-23,560.43,562.36,555.83,558.845,1620561,0,1,560.43,562.36,555.83,558.845,1620561
"80",2015-03-20,561.65,561.72,559.05,560.36,2404909,0,1,561.65,561.72,559.05,560.36,2404909
"81",2015-03-19,559.39,560.8,556.145,557.99,1154053,0,1,559.39,560.8,556.145,557.99,1154053
"82",2015-03-18,552.5,559.78,547.0001,559.5,2112760,0,1,552.5,559.78,547.0001,559.5,2112760
"83",2015-03-17,551.71,553.8,548,550.84,1792122,0,1,551.71,553.8,548,550.84,1792122
"84",2015-03-16,550.95,556.85,546,554.51,1605551,0,1,550.95,556.85,546,554.51,1605551
"85",2015-03-13,553.5,558.4,544.22,547.32,1673751,0,1,553.5,558.4,544.22,547.32,1673751
"86",2015-03-12,553.51,556.37,550.46,555.51,1358126,0,1,553.51,556.37,550.46,555.51,1358126
"87",2015-03-11,555.14,558.14,550.68,551.18,1815763,0,1,555.14,558.14,550.68,551.18,1815763
"88",2015-03-10,564.25,564.85,554.73,555.01,1787357,0,1,564.25,564.85,554.73,555.01,1787357
"89",2015-03-09,566.86,570.27,563.535,568.85,1059336,0,1,566.86,570.27,563.535,568.85,1059336
"90",2015-03-06,574.88,576.6799,566.76,567.685,1654561,0,1,574.88,576.6799,566.76,567.685,1654561
"91",2015-03-05,575.02,577.91,573.41,575.33,1385818,0,1,575.02,577.91,573.41,575.33,1385818
"92",2015-03-04,571.87,577.11,568.01,573.37,1869830,0,1,571.87,577.11,568.01,573.37,1869830
"93",2015-03-03,570.45,575.39,566.52,573.64,1696631,0,1,570.45,575.39,566.52,573.64,1696631
"94",2015-03-02,560.53,572.15,558.75,571.34,2121542,0,1,560.53,572.15,558.75,571.34,2121542
"95",2015-02-27,554.24,564.71,552.9,558.4,2402191,0,1,554.24,564.71,552.9,558.4,2402191
"96",2015-02-26,543.21,556.14,541.5,555.48,2303785,0,1,543.21,556.14,541.5,555.48,2303785
"97",2015-02-25,535.9,546.22,535.445,543.87,1820199,0,1,535.9,546.22,535.445,543.87,1820199
"98",2015-02-24,530,536.79,528.25,536.09,1002313,0,1,530,536.79,528.25,536.09,1002313
"99",2015-02-23,536.05,536.439,529.41,531.91,1449000,0,1,536.05,536.439,529.41,531.91,1449000
"100",2015-02-20,543.13,543.75,535.8,538.95,1439763,0,1,543.13,543.75,535.8,538.95,1439763
"101",2015-02-19,538.04,543.11,538.01,542.87,986611,0,1,538.04,543.11,538.01,542.87,986611
"102",2015-02-18,541.4,545.49,537.51,539.7,1447122,0,1,541.4,545.49,537.51,539.7,1447122
"103",2015-02-17,547.76,550,541.09,542.84,1608446,0,1,547.76,550,541.09,542.84,1608446
"104",2015-02-13,543.35,549.91,543.13,549.01,1874722,0,1,543.35,549.91,543.13,549.01,1874722
"105",2015-02-12,537.25,544.82,534.673,542.93,1610554,0,1,537.25,544.82,534.673,542.93,1610554
"106",2015-02-11,535.42,538.45,533.3775,535.97,1366743,0,1,535.42,538.45,533.3775,535.97,1366743
"107",2015-02-10,529.3,537.7,526.92,536.94,1742922,0,1,529.3,537.7,526.92,536.94,1742922
"108",2015-02-09,527.49,532,526.02,527.83,1261878,0,1,527.49,532,526.02,527.83,1261878
"109",2015-02-06,527.64,537.2,526.41,531,1758422,0,1,527.64,537.2,526.41,531,1758422
"110",2015-02-05,523.79,528.5,522.09,527.58,1843714,0,1,523.79,528.5,522.09,527.58,1843714
"111",2015-02-04,529.24,532.6715,521.27,522.76,1657900,0,1,529.24,532.6715,521.27,522.76,1657900
"112",2015-02-03,528,533.4,523.26,529.24,2029459,0,1,528,533.4,523.26,529.24,2029459
"113",2015-02-02,531.44,533,518.55,528.48,2823885,0,1,531.44,533,518.55,528.48,2823885
"114",2015-01-30,515.65,539.87,515.52,534.52,5580217,0,1,515.65,539.87,515.52,534.52,5580217
"115",2015-01-29,511,511.09,501.2,510.66,3914527,0,1,511,511.09,501.2,510.66,3914527
"116",2015-01-28,522.78,522.99,510,510,1673976,0,1,522.78,522.99,510,510,1673976
"117",2015-01-26,538.53,539,529.67,535.21,1538786,0,1,538.53,539,529.67,535.21,1538786
"118",2015-01-23,535.59,542.17,533,539.95,2272098,0,1,535.59,542.17,533,539.95,2272098
"119",2015-01-22,521.48,536.33,519.7,534.39,2662154,0,1,521.48,536.33,519.7,534.39,2662154
"120",2015-01-21,507.25,519.28,506.2,518.04,2245594,0,1,507.25,519.28,506.2,518.04,2245594
"121",2015-01-20,510.62,512.5,506.016,506.9,2221783,0,1,510.62,512.5,506.016,506.9,2221783
"122",2015-01-15,505.57,505.68,497.76,501.79,2707763,0,1,505.57,505.68,497.76,501.79,2707763
"123",2015-01-14,494.65,503.23,493,500.87,2207198,0,1,494.65,503.23,493,500.87,2207198
"124",2015-01-13,498.9,502.98,492.39,496.18,2362493,0,1,498.9,502.98,492.39,496.18,2362493
"125",2015-01-12,494.94,495.976,487.56,492.55,2314624,0,1,494.94,495.976,487.56,492.55,2314624
"126",2015-01-08,498.3,503.48,491,502.68,3340321,0,1,498.3,503.48,491,502.68,3340321
"127",2015-01-06,515,516.175,501.05,501.96,2879847,0,1,515,516.175,501.05,501.96,2879847
"128",2015-01-05,523.26,524.33,513.06,513.87,2032052,0,1,523.26,524.33,513.06,513.87,2032052
"129",2015-01-02,529.01,531.27,524.1,524.81,1443471,0,1,529.01,531.27,524.1,524.81,1443471
"130",2014-12-31,531.25,532.6,525.8,526.4,1364928,0,1,531.25,532.6,525.8,526.4,1364928
"131",2014-12-30,528.09,531.15,527.13,530.42,873351,0,1,528.09,531.15,527.13,530.42,873351
"132",2014-12-26,528.77,534.25,527.31,534.03,1033543,0,1,528.77,534.25,527.31,534.03,1033543
"133",2014-12-24,530.51,531.759,527.02,528.77,704031,0,1,530.51,531.759,527.02,528.77,704031
"134",2014-12-23,527,534.56,526.29,530.59,2187916,0,1,527,534.56,526.29,530.59,2187916
"135",2014-12-22,516.08,526.46,516.08,524.87,2716328,0,1,516.08,526.46,516.08,524.87,2716328
"136",2014-12-19,511.51,517.72,506.9106,516.35,3593052,0,1,511.51,517.72,506.9106,516.35,3593052
"137",2014-12-18,512.6,513.87,504.7,511.1,2908367,0,1,512.6,513.87,504.7,511.1,2908367
"138",2014-12-17,498,507,496.81,504.89,2872964,0,1,498,507,496.81,504.89,2872964
"139",2014-12-16,511.56,513.05,489,495.39,3942290,0,1,511.56,513.05,489,495.39,3942290
"140",2014-12-15,522.76,523.1,513.27,513.8,2802596,0,1,522.76,523.1,513.27,513.8,2802596
"141",2014-12-11,527.83,533.92,527.1,528.34,1543583,0,1,527.83,533.92,527.1,528.34,1543583
"142",2014-12-10,533.08,536.33,525.56,526.06,1707379,0,1,533.08,536.33,525.56,526.06,1707379
"143",2014-12-09,522.12,534.19,520.5,533.37,1865692,0,1,522.12,534.19,520.5,533.37,1865692
"144",2014-12-05,530.6,532.89,524.28,525.26,2554487,0,1,530.6,532.89,524.28,525.26,2554487
"145",2014-12-04,531.16,537.34,528.59,537.31,1388008,0,1,531.16,537.34,528.59,537.31,1388008
"146",2014-12-02,533.51,535.5,529.8,533.75,1521570,0,1,533.51,535.5,529.8,533.75,1521570
"147",2014-12-01,538.9,541.41,531.86,533.8,2100106,0,1,538.9,541.41,531.86,533.8,2100106
"148",2014-11-28,540.01,542,536.6,541.83,1145170,0,1,540.01,542,536.6,541.83,1145170
